ID;CLASS;GROUP;OBSTIME;OBSTIMESECS;TOTAL_PLAY;IM-IM TOT;ADULT-IMMATURE;MIXED;%PLAYTOTAL;%IMMATUREPLAY;%IMMATURE-ADULT PLAY;%MIXED PLAY
Ar;I;SN;277,9166667;1000500;2858;912;761;1185;0,29;0,09;0,08;0,12
Bg;I;CP;145,0666532;522239,9517;19881;10829;513;8539;3,81;2,07;0,10;1,64
Co;I;CP;145,0666532;522239,9517;17070;9074;1851;6145;3,27;1,74;0,35;1,18
Ds;J;CP;145,0666532;522239,9517;17660;9766;1903;5991;3,38;1,87;0,36;1,15
Fl;J;CH;273,6666667;985200;12538;650;7401;4487;1,27;0,07;0,75;0,46
Ll;I;CH;273,6666667;985200;10306;8040;1697;569;1,05;0,82;0,17;0,06
Lu;J;CH;273,6666667;985200;13960;650;8284;5026;1,42;0,07;0,84;0,51
Pp;I;CP;145,0666532;522239,9517;7256;4844;64;2348;1,39;0,93;0,01;0,45
Vv;J;SN;277,9166667;1000500;13649;912;10058;2679;1,36;0,09;1,01;0,27
ame;I;AGA;;416800;770;290;480;0;0,18;;;
ams;I;AGA;;416800;5030;2150;2880;0;1,21;;;
amt;I;AGA;;416800;1020;0;420;600;0,24;;;
anr;I;AGA;;108800;120;0;0;120;0,11;;;
cht;I;AGA;;187200;1260;600;600;60;0,67;;;
nnv;J;AGA;;496800;19925;7619;11596;710;4,01;;;
rby;J;AGA;;303300;8340;2950;4380;1010;2,75;;;
rds;J;AGA;;612000;14247;10810;2297;1140;2,33;;;
rme;I;AGA;;612000;735;595;140;0;0,12;;;
romm;I;AGA;;612000;7920;0;2860;5060;1,29;;;
rss;I;AGA;;208800;5485;1985;2180;1320;2,63;;;
rxy;I;AGA;;208800;4590;4020;570;0;2,20;;;
sfd;J;AGA;;212400;2350;1170;1060;120;1,11;;;
vco;I;AGA;;187200;180;60;120;0;0,10;;;
vlz;J;AGA;;198000;1010;410;600;0;0,51;;;
rok;J;PLA;;1080000;37578;;;;3,48;;;
bat;I;PLA;;1080000;36765;;;;3,40;;;
lur;I;PLA;;1080000;29062;;;;2,69;;;
vir;I;LIZ;;1080000;6496;;;;0,60;;;
amp;A;AGA;;118800;2043;;;;1,72;;;
amr;A;AGA;;496800;12705;;;;2,56;;;
azt;SA;AGA;;331200;3990;;;;1,20;;;
cha;A;AGA;;136800;1770;;;;1,29;;;
chu;A;AGA;;176040;725;;;;0,41;;;
cri;A;AGA;;75600;360;;;;0,48;;;
nfa;A;AGA;;421200;1845;;;;0,44;;;
nin;A;AGA;;496800;2250;;;;0,45;;;
nio;A;AGA;;165600;665;;;;0,40;;;
niy;A;AGA;;252000;1400;;;;0,56;;;
pic;A;AGA;;338400;677;;;;0,20;;;
pin;A;AGA;;342000;3383;;;;0,99;;;
pir;A;AGA;;288000;2515;;;;0,87;;;
rbt;A;AGA;;313200;2625;;;;0,84;;;
rod;A;AGA;;303300;1310;;;;0,43;;;
roj;A;AGA;;511200;2130;;;;0,42;;;
romana;SA;AGA;;612000;7920;;;;1,29;;;
rxa;A;AGA;;208800;2655;;;;1,27;;;
sal;A;AGA;;212400;2790;;;;1,31;;;
sbs;A;AGA;;374400;530;;;;0,14;;;
sep;A;AGA;;136800;2580;;;;1,89;;;
stg;A;AGA;;378000;1615;;;;0,43;;;
vci;A;AGA;;324000;1550;;;;0,48;;;
ven;A;AGA;;187200;2425;;;;1,30;;;
ver;A;AGA;;198000;4200;;;;2,12;;;
Ch;A;CH;;984960;6850;;;;0,70;;;
Cp;A;CH;;984960;10448;;;;1,06;;;
ev;A;CH;;984960;3430;;;;0,35;;;
Fd;A;CH;;984960;1426;;;;0,14;;;
Lc;A;CH;;984960;1663;;;;0,17;;;
Li;A;CH;;984960;578;;;;0,06;;;
Ln;A;CH;;984960;0;;;;0,00;;;
ls;A;CH;;984960;3804;;;;0,39;;;
Rs;A;CH;;984960;617;;;;0,06;;;
Sv;A;CH;;984960;790;;;;0,08;;;
Bl;A;CP;;746100;354;;;;0,05;;;
Cl;SA;CP;;746100;4555;;;;0,61;;;
Cr;A;CP;;746100;1283;;;;0,17;;;
Do;A;CP;;746100;1123;;;;0,15;;;
Dr;SA;CP;;746100;1153;;;;0,15;;;
El;A;CP;;746100;3040;;;;0,41;;;
Gt;A;CP;;746100;1741;;;;0,23;;;
Pl;A;CP;;746100;944;;;;0,13;;;
Yz;A;CP;;746100;992;;;;0,13;;;
Gu;A;SE;;394200;1483;;;;0,38;;;
Hd;A;SE;;394200;4454;;;;1,13;;;
Or;A;SE;;394200;1980;;;;0,50;;;
Up;A;SE;;394200;4398;;;;1,12;;;
At;A;SN;;1000440;2214;;;;0,22;;;
Mi;A;SN;;1000440;7161;;;;0,72;;;
Vn;A;SN;;1000440;2989;;;;0,30;;;
Vs;SA;SN;;1000440;9558;;;;0,96;;;
Ze;A;SN;;1000440;3939;;;;0,39;;;
an;A;LIZ;;1000440;7880;;;;0,79;;;
ch;A;LIZ;;1000440;2855;;;;0,29;;;
el;A;LIZ;;1000440;7185;;;;0,72;;;
li;A;LIZ;;1000440;1935;;;;0,19;;;
so;A;LIZ;;1000440;3360;;;;0,34;;;
do;A;PLA;;1000440;3420;;;;0,34;;;
lt;A;PLA;;1000440;2255;;;;0,23;;;
ma;A;PLA;;1000440;10000;;;;1,00;;;
mi;A;PLA;;1000440;12435;;;;1,24;;;
